Unnamed: 0,DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location 
1177015,151912065,2015-05-28,2015-05-28,130,19,Mission,1963,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329,22.0,M,W,104.0,DRIVEWAY,,,IC,Invest Cont,740.0,,,,9700    CEDROS                       AV,,"(34.2462, -118.4523)"
630135,121311553,2012-05-03,2012-05-03,1830,13,Newton,1362,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0417 0408 0445 0421 0305 0387 0416 0446,40.0,M,H,104.0,DRIVEWAY,302.0,BLUNT INSTRUMENT,AA,Adult Arrest,230.0,,,,51ST                         ST,TOWNE                        AV,"(33.9966, -118.2674)"
506947,112108402,2011-03-29,2011-03-29,5,21,Topanga,2136,900,VIOLATION OF COURT ORDER,0906,41.0,M,X,102.0,SIDEWALK,,,IC,Invest Cont,900.0,,,,ALABAMA                      AV,SHERMAN                      WY,"(34.201, -118.599)"
1159213,151715870,2015-09-12,2015-09-11,730,17,Devonshire,1716,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,14.0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,17200    RINALDI                      ST,,"(34.287, -118.507)"
720634,150327413,2015-12-30,2011-07-29,830,3,Southwest,333,354,THEFT OF IDENTITY,0100 1822 1266,22.0,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,3400    CRENSHAW                     BL,,"(34.0256, -118.3351)"
1426289,170904703,2017-01-05,2016-10-29,911,9,Van Nuys,963,661,UNAUTHORIZED COMPUTER ACCESS,1822,33.0,F,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,661.0,,,,15000    MAGNOLIA                     BL,,"(34.1649, -118.4596)"
1092803,151110092,2015-05-04,2015-05-04,215,11,Northeast,1181,441,THEFT PLAIN - ATTEMPT,1501,34.0,M,H,210.0,RESTAURANT/FAST FOOD,,,IC,Invest Cont,441.0,,,,2100 W  SUNSET                       BL,,"(34.0808, -118.2655)"
26157,130322090,2013-10-13,2013-10-12,2200,3,Southwest,362,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,23.0,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440.0,,,,4600    AUGUST                       ST,,"(34.0168, -118.3491)"
470733,111710950,2011-05-16,2011-05-16,2115,17,Devonshire,1727,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 1814 2000,25.0,M,W,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,SPRINGFIELD                  AV,TRIBUNE                      ST,"(34.2669, -118.5463)"
766114,131817377,2013-10-16,2013-10-15,1300,18,Southeast,1864,310,BURGLARY,1202 0321 1607 1609,60.0,F,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,800 E  116TH                        PL,,"(33.9283, -118.2604)"
1478777,171106570,2017-02-25,2017-02-24,1740,11,Northeast,1175,210,ROBBERY,0400 0344 0334 1501 0326 0355,26.0,M,H,109.0,PARK/PLAYGROUND,113.0,SIMULATED GUN,IC,Invest Cont,210.0,,,,ELYSIAN PARK                 DR,STADIUM                      WY,"(34.0857, -118.2457)"
530878,120305173,2012-01-19,2012-01-19,930,3,Southwest,311,210,ROBBERY,0334 0344 0337 0411,71.0,M,H,101.0,STREET,207.0,OTHER KNIFE,IC,Invest Cont,210.0,,,,BLACKWELDER,DURAY                        PL,"(34.0278, -118.3609)"
935948,141607468,2014-04-07,2014-03-25,900,16,Foothill,1643,956,"LETTERS, LEWD",1814,18.0,F,H,501.0,SINGLE FAMILY DWELLING,,,AO,Adult Other,956.0,,,,10600    EL DORADO                    AV,,"(34.2629, -118.4217)"
1389248,161816058,2016-08-14,2016-08-13,2235,18,Southeast,1841,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1100 0371 0906 0430 0309 1309 1310,23.0,M,H,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,230.0,,,,11300 S  VERMONT                      AV,,"(33.932, -118.2916)"
1439429,170300752,2017-05-13,2017-05-12,2030,3,Southwest,334,330,BURGLARY FROM VEHICLE,1609 1307 0329 0344 1822 1402,39.0,F,B,123.0,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330.0,998.0,,,3500    CRENSHAW                     BL,,"(34.0248, -118.3351)"
587523,120909054,2012-04-02,2012-04-02,1620,9,Van Nuys,923,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",1202 0701 0344,72.0,F,H,602.0,BANK,,,IC,Invest Cont,341.0,,,,VAN NUYS,KITTRIDGE,"(34.1907, -118.4487)"
1333920,161308900,2016-03-27,2016-03-27,1325,13,Newton,1333,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1309 1310 1814 0913 0319 0329 0448 0419 1266,27.0,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,800 E  JEFFERSON                    BL,,"(34.0174, -118.2621)"
1242307,160404507,2016-01-13,2016-01-12,2000,4,Hollenbeck,466,330,BURGLARY FROM VEHICLE,0344 1302 1307,38.0,M,H,101.0,STREET,,,IC,Invest Cont,330.0,,,,200 N  EVERGREEN                    AV,,"(34.0436, -118.2051)"
467589,111704121,2011-01-04,2011-01-03,900,17,Devonshire,1768,330,BURGLARY FROM VEHICLE,0344 1606,35.0,M,B,101.0,STREET,,,IC,Invest Cont,330.0,,,,LASSEN,WHITE OAK,"(34.2504, -118.5199)"
572422,120711540,2012-06-25,2012-05-01,1200,7,Wilshire,723,354,THEFT OF IDENTITY,0930 1822,65.0,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,100 N  CRESCENT HEIGHTS             BL,,"(34.0743, -118.3658)"
1223325,160212573,2016-06-20,2016-06-20,1,2,Rampart,236,888,TRESPASSING,0562 2004,15.0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,888.0,,,,100 S  ALVARADO                     ST,,"(34.0667, -118.2703)"
596001,121006535,2012-02-22,2012-02-21,1500,10,West Valley,1063,330,BURGLARY FROM VEHICLE,0344 1300 9999 0352,43.0,M,O,101.0,STREET,,,IC,Invest Cont,330.0,,,,5600    WILBUR                       AV,,"(34.1728, -118.5447)"
247668,100512114,2010-06-03,2010-06-03,700,5,Harbor,514,510,VEHICLE - STOLEN,,,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,PACIFIC COAST                HY,FIGUEROA                     ST,"(33.7905, -118.2811)"
33425,130414010,2013-09-16,2013-09-16,1725,4,Hollenbeck,438,440,THEFT PLAIN - PETTY ($950 & UNDER),0325 0344,,M,W,248.0,CELL PHONE STORE,,,IC,Invest Cont,440.0,,,,4800    VALLEY                       BL,,"(34.0659, -118.1801)"
1397645,161911922,2016-05-23,2016-05-20,600,19,Mission,1966,928,THREATENING PHONE CALLS/LETTERS,,34.0,F,H,108.0,PARKING LOT,,,IC,Invest Cont,928.0,,,,9200    VAN NUYS                     BL,,"(34.2373, -118.4502)"
296718,101324838,2010-11-11,2010-11-11,220,13,Newton,1341,310,BURGLARY,0329,58.0,F,H,203.0,OTHER BUSINESS,,,IC,Invest Cont,310.0,,,,3900 S  HILL                         ST,,"(34.0131, -118.2791)"
459247,111600610,2011-02-15,2011-02-13,2000,16,Foothill,1617,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0416 0552 1258 1402,,M,W,501.0,SINGLE FAMILY DWELLING,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,627.0,998.0,,,11000    ORO VISTA                    AV,,"(34.2689, -118.3157)"
1556895,171114486,2017-08-01,2017-07-01,1000,11,Northeast,1116,354,THEFT OF IDENTITY,1822 0928,36.0,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,600    MILO                         TR,,"(34.1122, -118.2077)"
1073283,150906723,2015-02-26,2015-02-25,2130,9,Van Nuys,904,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329,,X,X,203.0,OTHER BUSINESS,,,IC,Invest Cont,740.0,,,,7200    KESTER                       AV,,"(34.2084, -118.4599)"
772596,131913946,2013-06-15,2013-05-15,200,19,Mission,1984,330,BURGLARY FROM VEHICLE,1307 0344,23.0,M,H,101.0,STREET,,,IC,Invest Cont,330.0,,,,COMMUNITY                    ST,KESTER,"(34.2235, -118.4575)"
283671,100918379,2010-09-14,2010-09-14,830,9,Van Nuys,911,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1300,,M,W,108.0,PARKING LOT,,,IC,Invest Cont,745.0,,,,15300    SHERMAN                      WY,,"(34.2012, -118.4662)"
543892,120405537,2012-02-04,2012-02-04,1400,4,Hollenbeck,438,928,THREATENING PHONE CALLS/LETTERS,0421 0603 0361,56.0,M,H,501.0,SINGLE FAMILY DWELLING,511.0,VERBAL THREAT,IC,Invest Cont,928.0,,,,2900    LOWELL                       AV,,"(34.0791, -118.1624)"
871594,140919319,2014-11-20,2014-11-10,1200,9,Van Nuys,991,354,THEFT OF IDENTITY,1822,81.0,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,3700    CODY                         RD,,"(34.1372, -118.4639)"
157949,101715842,2010-08-08,2010-08-07,2100,17,Devonshire,1791,210,ROBBERY,0305 0337 0344 0355 0369 0411,27.0,M,H,101.0,STREET,200.0,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,210.0,,,,ROSCOE                       BL,WINNETKA,"(34.2202, -118.571)"
409520,111109082,2011-04-08,2011-04-08,1630,11,Northeast,1172,310,BURGLARY,0114 0321 0344 1202,91.0,F,A,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,2200    BERKELEY                     AV,,"(34.084, -118.2611)"
1523026,171910003,2017-04-11,2017-04-05,1105,19,Mission,1966,664,"BUNCO, PETTY THEFT",,59.0,F,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,664.0,,,,9200    WAKEFIELD                    AV,,"(34.2376, -118.4481)"
806565,140212658,2014-06-17,2014-06-17,1930,2,Rampart,256,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0416 0421 0422 0432 0319 0369 0329 1307 0913,52.0,M,H,101.0,STREET,511.0,VERBAL THREAT,AA,Adult Arrest,930.0,,,,6TH                          ST,UNION                        AV,"(34.0573, -118.2691)"
1313420,161115924,2016-09-07,2016-09-06,1326,11,Northeast,1123,901,VIOLATION OF RESTRAINING ORDER,1501,56.0,F,W,203.0,OTHER BUSINESS,,,AA,Adult Arrest,901.0,,,,3400    GLENDALE                     BL,,"(34.1207, -118.2641)"
1298471,161005577,2016-02-08,2016-02-06,2220,10,West Valley,1063,440,THEFT PLAIN - PETTY ($950 & UNDER),0352 0344 1420 0104,,M,O,203.0,OTHER BUSINESS,,,IC,Invest Cont,440.0,,,,18600    VENTURA                      BL,,"(34.1698, -118.5386)"
1552457,171900773,2017-07-23,2017-07-23,1115,19,Mission,1972,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1402 0907 0355,26.0,F,H,405.0,CLOTHING STORE,,,AA,Adult Arrest,442.0,998.0,,,9000    SEPULVEDA                    BL,,"(34.2337, -118.4676)"
246613,100509486,2010-04-18,2010-04-18,215,5,Harbor,563,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 0444 1243 2000,20.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,600 W  17TH                         ST,,"(33.7288, -118.2902)"
956887,141817487,2014-09-21,2014-09-21,1605,18,Southeast,1826,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0387 0906,13.0,M,B,203.0,OTHER BUSINESS,200.0,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,230.0,,,,1600 E  103RD                        ST,,"(33.9433, -118.2462)"
227911,100313236,2010-05-14,2010-05-14,1315,3,Southwest,312,649,DOCUMENT FORGERY / STOLEN FELONY,,51.0,M,B,203.0,OTHER BUSINESS,,,IC,Invest Cont,649.0,,,,2600 S  LA BREA                      AV,,"(34.0325, -118.3509)"
759774,131805776,2013-02-07,2013-02-06,1400,18,Southeast,1864,761,BRANDISH WEAPON,0913 0432 1259 0334,17.0,F,H,102.0,SIDEWALK,207.0,OTHER KNIFE,IC,Invest Cont,761.0,,,,120TH                        ST,WADSWORTH,"(33.9237, -118.2586)"
360289,110513756,2011-07-10,2011-07-09,2000,5,Harbor,567,510,VEHICLE - STOLEN,,10.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,1500 S  BEACON                       ST,,"(33.7306, -118.2805)"
699195,122013019,2012-06-27,2012-06-27,100,20,Olympic,2023,901,VIOLATION OF RESTRAINING ORDER,2000 0913,32.0,F,K,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,901.0,,,,300 S  KINGSLEY                     DR,,"(34.069, -118.3029)"
1166610,151811215,2015-05-24,2015-05-23,1930,18,Southeast,1846,510,VEHICLE - STOLEN,,14.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,1300 E  112TH                        ST,,"(33.9332, -118.2522)"
559139,120600603,2012-03-16,2012-03-16,1450,6,Hollywood,639,440,THEFT PLAIN - PETTY ($950 & UNDER),0104 0325,,M,W,405.0,CLOTHING STORE,,,IC,Invest Cont,440.0,,,,5400    HOLLYWOOD                    BL,,"(34.1018, -118.3071)"
193372,102110680,2010-04-29,2010-04-29,1030,21,Topanga,2189,850,INDECENT EXPOSURE,0529 0528 1259,17.0,F,O,101.0,STREET,,,AA,Adult Arrest,850.0,,,,VENTURA                      BL,WINNETKA                     AV,"(34.171, -118.5709)"
395326,110916921,2011-08-23,2011-08-19,1000,9,Van Nuys,926,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1300,33.0,F,H,108.0,PARKING LOT,,,IC,Invest Cont,745.0,,,,6600    VAN NUYS                     BL,,"(34.1907, -118.4487)"
1550746,171315176,2017-06-26,2017-06-26,1330,13,Newton,1333,624,BATTERY - SIMPLE ASSAULT,0416,35.0,M,H,501.0,SINGLE FAMILY DWELLING,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624.0,,,,1000 E  33RD                         ST,,"(34.0138, -118.2583)"
1146718,151605753,2015-02-17,2015-02-17,2015,16,Foothill,1657,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1309 0421,40.0,F,O,210.0,RESTAURANT/FAST FOOD,511.0,VERBAL THREAT,IC,Invest Cont,930.0,,,,7500    FOOTHILL                     BL,,"(34.253, -118.2907)"
387912,110817314,2011-10-26,2011-10-26,1736,8,West LA,855,946,OTHER MISCELLANEOUS CRIME,0921,55.0,F,B,108.0,PARKING LOT,,,IC,Invest Cont,946.0,,,,1500    WESTWOOD                     BL,,"(34.0541, -118.4407)"
1326767,161222445,2016-09-03,2016-09-03,1730,12,77th Street,1232,510,VEHICLE - STOLEN,,15.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,5800    3RD                          AV,,"(33.9891, -118.3206)"
793270,132117817,2013-11-03,2013-11-03,1930,21,Topanga,2155,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,2000 0421,30.0,F,W,501.0,SINGLE FAMILY DWELLING,,,AO,Adult Other,930.0,,,,6000    FLAME TREE                   LN,,"(34.1805, -118.6102)"
225751,100308779,2010-03-09,2010-03-09,800,3,Southwest,378,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329,37.0,F,O,203.0,OTHER BUSINESS,,,IC,Invest Cont,740.0,,,,700    EXPOSITION                   BL,,"(34.0181, -118.2846)"
739610,131517432,2013-09-07,2013-09-05,2200,15,N Hollywood,1549,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),0344 1402,30.0,M,W,707.0,GARAGE/CARPORT,,,IC,Invest Cont,331.0,998.0,,,5400    TUJUNGA                      AV,,"(34.1689, -118.379)"
958978,141821378,2014-12-10,2014-12-09,2000,18,Southeast,1842,510,VEHICLE - STOLEN,,13.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,OLIVE                        ST,112TH                        ST,"(33.933, -118.2795)"
723161,131400550,2013-02-20,2013-02-19,900,14,Pacific,1428,310,BURGLARY,0344 1402,36.0,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,998.0,,,3200    MILITARY                     AV,,"(34.0259, -118.4233)"
1582714,171613823,2017-08-31,2017-08-26,1000,16,Foothill,1602,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0913 0329,42.0,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,740.0,901.0,,,12700    MERCER                       ST,,"(34.2783, -118.4098)"
328044,110121893,2011-12-19,2011-12-17,1145,1,Central,181,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344 0917,20.0,M,O,713.0,CONVENTION CENTER,,,IC,Invest Cont,341.0,,,,1200 S  FIGUEROA                     ST,,"(34.0423, -118.2666)"
1117791,151313115,2015-06-15,2015-06-15,2145,13,Newton,1353,210,ROBBERY,0344 0355 0337 0302 0408,33.0,M,H,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,210.0,,,,45TH                         ST,STANFORD,"(34.0026, -118.264)"
1353003,161429756,2016-12-18,2016-12-11,1200,14,Pacific,1472,480,BIKE - STOLEN,0344,51.0,F,W,707.0,GARAGE/CARPORT,,,IC,Invest Cont,480.0,,,,6600    PACIFIC                      AV,,"(33.9603, -118.4516)"
1117869,151313282,2015-06-18,2015-06-07,1745,13,Newton,1346,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0906,54.0,M,O,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230.0,624.0,,,4200    ASCOT                        AV,,"(34.0068, -118.2496)"
1384028,161806479,2016-02-19,2016-02-19,1645,18,Southeast,1802,624,BATTERY - SIMPLE ASSAULT,0416,46.0,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,100 W  88TH                         PL,,"(33.9565, -118.2739)"
467587,111704116,2011-01-03,2011-01-03,1230,17,Devonshire,1764,330,BURGLARY FROM VEHICLE,0344 1307,35.0,F,O,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,19300    TAMPA                        AV,,"(34.2564, -118.5536)"
873702,141005659,2014-02-10,2014-02-10,935,10,West Valley,1012,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0430 0421 1402 1420 1414 1212 0302,54.0,M,H,101.0,STREET,102.0,HAND GUN,AA,Adult Arrest,230.0,,,,CAPPS                        AV,SHERMAN                      WY,"(34.2011, -118.5397)"
1182256,151922480,2015-11-26,2015-11-26,1600,19,Mission,1998,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344,42.0,M,W,104.0,DRIVEWAY,,,IC,Invest Cont,420.0,,,,8200    MURIETTA                     AV,,"(34.2197, -118.4391)"
414557,111119547,2011-10-19,2011-10-15,45,11,Northeast,1144,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,35.0,M,W,203.0,OTHER BUSINESS,,,IC,Invest Cont,440.0,,,,2300    GLENDALE                     BL,,"(34.0972, -118.2592)"
896302,141214944,2014-06-23,2014-06-22,1900,12,77th Street,1215,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",1300 0329,40.0,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,NORMANDIE                    AV,57TH                         ST,"(33.991, -118.3002)"
940625,141617093,2014-12-28,2014-12-28,1215,16,Foothill,1653,624,BATTERY - SIMPLE ASSAULT,0913 0416,38.0,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,12700    OSBORNE                      ST,,"(34.2542, -118.4095)"
636626,121405589,2012-01-23,2012-01-18,1930,14,Pacific,1485,330,BURGLARY FROM VEHICLE,0344 1300,32.0,M,W,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,9100 S  SEPULVEDA                    BL,,"(33.9541, -118.3962)"
684889,121900882,2012-03-25,2012-03-25,930,19,Mission,1974,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416,27.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,,,,9000    CEDROS                       AV,,"(34.2337, -118.4536)"
